HCP.L
HCM.L
HCL.L
HCFT.L
HCAN.L
HAWK.L
HAT.L
HAS.L
HAN.L
HAMP.L
HAL.L
HAIK.L
HAGT.L
H50E.L
GWP.L
GWMO.L
GVC.L
GTC.L
GSS.L
HGT.L
HGR8.L
HGM.L
HGL.L
HGG.L
HFT.L
HFG.L
HFEL.L
HFD.L
HER.L
HEGY.L
HEFT.L
HEAT.L
HEAF.L
HEAD.L
HDY.L
HDT.L
HDIV.L
HDD.L
GOAL.L
GNS.L
GNK.L
GNG.L
GNC.L
GMA.L
GLR.L
GLOK.L
GLIF.L
GLEN.L
GLE.L
GLDG.L
GLDE.L
GLDD.L
GKP.L
GKO.L
GKN.L
GKLL.L
GILS.L
GSK.L
GSDO.L
GSAU.L
GSAI.L
GRL.L
GRI.L
GRG.L
GRAF.L
GPX.L
GPRT.L
GPOR.L
GPM.L
GPK.L
GPG.L
GPE.L
GOO.L
GON.L
GOLG.L
GOLE.L
GOG.L
HSP.L
HSM.L
HSL.L
HSD.L
HSBR.L
HSBA.L
HRUD.L
HRO.L
HRN.L
HRI.L
HRG.L
HRCO.L
HPRO.L
HPEQ.L
HPAC.L
HOT.L
HOME.L
HOIL.L
HOGS.L
HYNS.L
HYDG.L
HYD.L
HYC.L
HWDN.L
HWC.L
HVT.L
HVN.L
HVE.L
HUW.L
HUM.L
HUKX.L
HTWN.L
HTRD.L
HTIG.L
HTG.L
HSX.L
HSV.L
HSTN.L
HSPX.L
HMB.L
HLTW.L
HLS.L
HLO.L
HLMA.L
HLCL.L
HL/.L
HKOR.L
HIW.L
HINT.L
HILS.L
HIK.L
HIDR.L
HID.L
HICL.L
HIBU.L
HHR.L
HHI.L
HGV.L
HOGF.L
HOC.L
HNT.L
HNE.L
HMYR.L
HMXJ.L
HMWD.L
HMV.L
HMUS.L
HMSO.L
HMLH.L
HMLD.L
HMJP.L
HMFD.L
HMEX.L
HMEU.L
HMEM.L
HMCX.L
HMCH.L
HMBR.L
FDSA.L
FDP.L
FDL.L
FDI.L
FDBK.L
FCSS.L
FCS.L
FCRU.L
FCRM.L
FCPT.L
FCI.L
FCCN.L
FCAP.L
FCAM.L
FBT.L
FBRT.L
FBDU.L
FAST.L
FAS.L
FLEE.L
FKL.L
FKE.L
FJV.L
FJET.L
FITB.L
FIPP.L
FIP.L
FINW.L
FIND.L
FINA.L
FII.L
FIF.L
FGT.L
FGP.L
FFA.L
FEV.L
FEP.L
FENR.L
FEN.L
ET/.L
ESXG.L
EST.L
ESSU.L
ESSR.L
ESSG.L
ESSE.L
ESS.L
ESR.L
ESCH.L
ERU.L
EROS.L
ERM.L
ERET.L
ERE.L
EPO.L
EPL.L
EPG.L
EOG.L
FAIG.L
FAGR.L
EZJ.L
EXPN.L
EXI.L
EXEF.L
EWR.L
EWI.L
EVR.L
EVOL.L
EVO.L
EUT.L
EUP3.L
EUN.L
EUK.L
EUA.L
ETX.L
ETQ.L
ETO.L
ETI.L
GCM.L
GBUS.L
GBUR.L
GBSK.L
GBS.L
GBR.L
GBO.L
GBNZ.L
GBNO.L
GBJP.L
GBG.L
GBF.L
GBCH.L
GBCA.L
GBAU.L
GAW.L
GASU.L
GASG.L
GASE.L
GILI.L
GHT.L
GHH.L
GHE.L
GGP.L
GFS.L
GFRD.L
GFM.L
GENL.L
GEMD.L
GEM.L
GEEC.L
GED.L
GDWN.L
GDP.L
GDL.L
GDIV.L
GDG.L
GCP.L
GCO.L
FRCL.L
FPO.L
FPM.L
FPET.L
FPER.L
FOX.L
FOUR.L
FOOG.L
FOOE.L
FOOD.L
FOGL.L
FML.L
FLYB.L
FLTR.L
FLOR.L
FLK.L
FLIV.L
FLEU.L
FLEG.L
GAS.L
GAH.L
FXPO.L
FXC.L
FWEB.L
FUTR.L
FUM.L
FTO.L
FTF.L
FTC.L
FSV.L
FSTA.L
FSJ.L
FSC.L
FRX.L
FRS2.L
FRR.L
FRP.L
FRM.L
FRES.L
JHD.L
JGC.L
JFJ.L
JESC.L
JEO.L
JEMI.L
JELY.L
JEL.L
JDW.L
JDT.L
JDG.L
JD/.L
JCH.L
JAPG.L
JAM.L
JAI.L
IXMU.L
IWXU.L
IWRD.L
JPG.L
JPB.L
JNY.L
JMO.L
JMI.L
JMG.L
JMF.L
JMC.L
JMAT.L
JLT.L
JLP.L
JLIF.L
JLH.L
JLF.L
JKX.L
JJB.L
JIM.L
JIL.L
JII.L
ISYS.L
ISXF.L
ISWD.L
ISUS.L
ISP6.L
ISLN.L
ISL.L
ISJP.L
ISH.L
ISG.L
ISFE.L
ISF.L
ISEM.L
ISAT.L
ISAG.L
ISAC.L
IS15.L
IRV.L
IRSS.L
IWDP.L
IWDE.L
IVO.L
IVI.L
IUSP.L
IUSE.L
IUSA.L
IUKP.L
IUKD.L
IUAG.L
ITWN.L
ITV.L
